,ID_CA,community_area,population,area,neighbours,criminality_index
0,1,ROGERS PARK,55628,4.77,"[1, 2, 77]",0.017028812751174988
1,2,WEST RIDGE,77122,9.14,"[1, 2, 4, 13, 77]",0.016113514065799334
2,3,UPTOWN,57182,6.01,"[3, 4, 5, 6, 77]",0.016228458551869763
3,4,LINCOLN SQUARE,40494,6.63,"[2, 3, 4, 5, 6, 13, 14, 16, 77]",0.008786867379606295
4,5,NORTH CENTER,35114,5.31,"[3, 4, 5, 6, 7, 14, 16, 21, 22]",0.005632279817451127
5,6,LAKE VIEW,10305,8.08,"[3, 4, 5, 6, 7]",0.023870138273959538
6,7,LINCOLN PARK,70492,8.18,"[5, 6, 7, 8, 22, 24]",0.014691608201076222
7,8,NEAR NORTH SIDE,105481,7.1,"[7, 8, 24, 28, 32]",0.04418976908929909
8,9,EDISON PARK,11525,2.93,"[9, 10]",0.0012729037531503304
9,10,NORWOOD PARK,38303,11.32,"[9, 10, 11, 12, 76]",0.005432191267624821
10,11,JEFFERSON PARK,26216,6.03,"[10, 11, 12, 15]",0.004440262924868878
11,12,FOREST GLEN,19596,8.29,"[10, 11, 12, 13, 14, 15, 16]",0.002541550303112867
12,13,NORTH PARK,17559,6.53,"[2, 4, 12, 13, 14]",0.004206116749540222
13,14,ALBANY PARK,48396,4.97,"[4, 5, 12, 13, 14, 15, 16]",0.009118929228254207
14,15,PORTAGE PARK,6302,10.23,"[11, 12, 14, 15, 16, 17, 19, 20]",0.012843982017573734
15,16,IRVING PARK,5194,8.31,"[4, 5, 12, 14, 15, 16, 20, 21]",0.01100912744363463
16,17,DUNNING,43147,9.63,"[15, 17, 18, 19, 76]",0.00655609290920237
17,18,MONTCLARE,14401,2.56,"[17, 18, 19, 25]",0.002771439275253729
18,19,BELMONT CRAGIN,78116,10.13,"[15, 17, 18, 19, 20, 23, 25]",0.017684422042095225
19,20,HERMOSA,24062,3.03,"[15, 16, 19, 20, 21, 22, 23, 25]",0.004687180709760916
20,21,AVONDALE,36257,5.13,"[5, 16, 20, 21, 22]",0.008144029698249438
21,22,LOGAN SQUARE,71665,9.3,"[5, 7, 20, 21, 22, 23, 24]",0.017186329269123356
22,23,HUMBOLDT PARK,54165,9.32,"[19, 20, 22, 23, 24, 25, 26, 27]",0.02565390640964512
23,24,WEST TOWN,87781,11.86,"[7, 8, 22, 23, 24, 27, 28]",0.03024742864927457
24,25,AUSTIN,96557,18.52,"[18, 19, 20, 23, 25, 26, 29]",0.05161433144881139
25,26,WEST GARFIELD PARK,17433,3.32,"[23, 25, 26, 27, 29]",0.01601134118929228
26,27,EAST GARFIELD PARK,19992,5.0,"[23, 24, 26, 27, 28, 29]",0.01640300388256931
27,28,NEAR WEST SIDE,67881,14.74,"[8, 24, 27, 28, 29, 31, 32, 33, 34]",0.039723962945303455
28,29,NORTH LAWNDALE,34794,8.31,"[25, 26, 27, 28, 29, 30, 31]",0.027637763095157006
29,30,SOUTH LAWNDALE,71399,11.89,"[29, 30, 31, 56, 57, 58, 59]",0.016437061508071657
30,31,LOWER WEST SIDE,33751,7.59,"[28, 29, 30, 31, 33, 34, 58, 59, 60]",0.011524249029357673
31,32,LOOP,42298,4.27,"[8, 28, 32, 33]",0.03292095225120904
32,33,NEAR SOUTH SIDE,28795,4.61,"[28, 31, 32, 33, 34, 35]",0.01051954907703835
33,34,ARMOUR SQUARE,1389,2.59,"[28, 31, 33, 34, 35, 37, 38, 60]",0.004878754853211634
34,35,DOUGLAS,20291,4.27,"[33, 34, 35, 36, 38]",0.011975512567263811
35,36,OAKLAND,6799,1.5,"[35, 36, 38, 39]",0.0031077583270894354
36,37,FULLER PARK,2567,1.8399999999999999,"[34, 37, 38, 40, 60, 61, 68]",0.0024308630202302295
37,38,GRAND BOULEVARD,24589,4.51,"[34, 35, 36, 37, 38, 39, 40, 41]",0.013955112049587902
38,39,KENWOOD,19116,2.69,"[36, 38, 39, 40, 41]",0.007773653020911382
39,40,WASHINGTON PARK,12707,3.94,"[37, 38, 39, 40, 41, 42, 68, 69]",0.0094637626864655
40,41,HYDE PARK,29456,4.17,"[38, 39, 40, 41, 42]",0.008927355084803487
41,42,WOODLAWN,24425,5.36,"[40, 41, 42, 43, 69]",0.014576663715005789
42,43,SOUTH SHORE,53971,7.59,"[42, 43, 45, 46, 69]",0.035006981813227984
43,44,CHATHAM,3171,7.64,"[44, 45, 47, 48, 49, 69, 71]",0.024593862815884476
44,45,AVALON PARK,9458,3.24,"[43, 44, 45, 46, 47, 48, 69]",0.004721238335263265
45,46,SOUTH CHICAGO,273,8.65,"[43, 45, 46, 48, 51, 52]",0.018131428376813568
46,47,BURNSIDE,2527,1.58,"[44, 45, 47, 48, 49, 50, 51]",0.001634766024112799
47,48,CALUMET HEIGHTS,13088,4.53,"[44, 45, 46, 47, 48, 51]",0.00603245691710374
48,49,ROSELAND,38816,12.48,"[44, 47, 49, 50, 53, 54, 71, 73, 75]",0.025126013214358697
49,50,PULLMAN,682,5.49,"[47, 49, 50, 51, 54]",0.0037420816020707036
50,51,SOUTH DEERING,14105,28.23,"[46, 47, 48, 50, 51, 52, 54, 55]",0.007522478032831551
51,52,EAST SIDE,21724,7.72,"[46, 51, 52, 55]",0.004883012056399428
52,53,WEST PULLMAN,26104,9.22,"[49, 53, 54, 75]",0.014159457802602003
53,54,RIVERDALE,7262,9.14,"[49, 50, 51, 53, 54, 55]",0.005347047203868947
54,55,HEGEWISCH,10027,13.57,"[51, 52, 54, 55]",0.002592636741366392
55,56,GARFIELD RIDGE,35439,10.96,"[30, 56, 57, 62, 64, 65]",0.008152544104625025
56,57,ARCHER HEIGHTS,14196,5.21,"[30, 56, 57, 58, 62]",0.004206116749540222
57,58,BRIGHTON PARK,45053,7.04,"[30, 31, 57, 58, 59, 61, 62, 63]",0.009114672025066413
58,59,MCKINLEY PARK,15923,3.65,"[30, 31, 58, 59, 60, 61]",0.003699509570192766
59,60,BRIDGEPORT,33702,5.41,"[31, 34, 37, 59, 60, 61]",0.006470948845446496
60,61,NEW CITY,43628,12.51,"[37, 58, 59, 60, 61, 63, 67, 68]",0.015423847149376746
61,62,WEST ELSDON,18394,3.03,"[56, 57, 58, 62, 63, 64, 65]",0.0035462502554321914
62,63,GAGE PARK,3954,5.7,"[58, 61, 62, 63, 65, 66, 67]",0.008173830120563995
63,64,CLEARING,24473,6.6,"[56, 62, 64, 65]",0.004372147673864178
64,65,WEST LAWN,33662,7.64,"[56, 62, 63, 64, 65, 66, 70]",0.006645494176146039
65,66,CHICAGO LAWN,55931,9.14,"[63, 65, 66, 67, 70, 71]",0.02046011852053675
66,67,WEST ENGLEWOOD,29647,8.16,"[61, 63, 66, 67, 68, 71]",0.0202217151420203
67,68,ENGLEWOOD,24369,7.95,"[37, 40, 61, 67, 68, 69, 71]",0.020549519787480416
68,69,GREATER GRAND CROSSING,31471,9.19,"[40, 42, 43, 44, 45, 68, 69, 71]",0.024644949254138
69,70,ASHBURN,41098,12.59,"[65, 66, 70, 71, 72]",0.00846331993733397
70,71,AUBURN GRESHAM,44878,9.76,"[44, 49, 66, 67, 68, 69, 70, 71, 72, 73]",0.02726738641781895
71,72,BEVERLY,20027,8.24,"[70, 71, 72, 73, 74, 75]",0.003767624821197466
72,73,WASHINGTON HEIGHTS,25065,7.41,"[49, 71, 72, 73, 75]",0.012218173148968054
73,74,MOUNT GREENWOOD,18628,7.02,"[72, 74, 75]",0.0022478032831550984
74,75,MORGAN PARK,21186,8.55,"[49, 53, 72, 73, 74, 75]",0.007599107690211838
75,76,OHARE,13418,34.55,"[10, 17, 76]",0.006994584837545126
76,77,EDGEWATER,56296,4.51,"[1, 2, 3, 4, 77]",0.012047885021456303
