,station_name,community_area,longitude,latitude,ID_PS,D_distances,d_distancias
0,3510 S Michigan Ave,DOUGLAS,-87.62339535,41.83070169,1,"[2092.19, 2103.08, 1560.8, 1750.1, 1439.87, 1341.95, 1143.81, 920.02, 2236.83, 1993.64, 1861.2, 1864.83, 2007.65, 1705.13, 1847.25, 1527.93, 2110.0, 2025.4, 1726.83, 1479.31, 1372.35, 1269.34, 1164.63, 995.22, 1395.31, 1107.72, 912.71, 725.75, 1095.43, 915.51, 629.88, 712.07, 432.09, 308.09, 164.81, 332.77, 299.75, 255.07, 454.46, 482.98, 622.28, 669.62, 1076.31, 866.67, 965.56, 1194.49, 1246.66, 1186.33, 1062.54, 1312.12, 1725.17, 1555.51, 1456.6, 1476.24, 1883.22, 1251.08, 1028.39, 714.17, 458.29, 367.13, 523.34, 1071.65, 877.53, 1495.86, 1298.45, 1054.84, 903.06, 688.46, 752.24, 1298.83, 1023.28, 1228.75, 1102.38, 1634.33, 1288.76, 2533.5, 1892.35]","[0, 989.7, 1360.4, 1809.6, 1227.2, 2021.8, 1618.0, 410.2, 341.5, 722.6, 1305.0, 1232.9, 825.3, 766.6, 1066.6, 315.0, 1016.1, 909.7, 584.8, 1246.0, 1252.6, 1815.1, 1626.6]"
1,1160 N Larrabee St,NEAR NORTH SIDE,-87.64335214,41.90324165,2,"[1217.56, 1283.21, 686.17, 930.23, 662.57, 467.32, 212.96, 148.2, 1618.47, 1375.27, 1242.84, 1246.46, 1389.29, 1046.81, 1228.88, 909.57, 1491.64, 1453.2, 1199.17, 903.09, 753.99, 650.98, 818.75, 393.58, 1159.88, 985.73, 778.86, 655.61, 1076.28, 1375.69, 937.64, 501.85, 869.45, 887.95, 970.83, 1104.34, 1001.66, 1126.83, 1217.74, 1269.59, 1419.79, 1456.23, 1730.77, 1458.95, 1617.57, 1867.38, 1838.93, 1838.34, 1654.82, 1921.41, 2334.46, 2174.7, 2048.88, 2068.52, 2475.5, 1667.29, 1484.95, 1305.33, 1109.28, 957.06, 1225.26, 1604.71, 1500.13, 1912.08, 1844.19, 1677.44, 1525.66, 1280.73, 1352.75, 1891.1, 1615.56, 1821.03, 1694.65, 2226.61, 1881.04, 1915.14, 1017.72]","[989.7, 0, 487.2, 992.2, 1827.8, 1154.4, 1160.6, 756.2, 1103.8, 1383.8, 1914.3, 1833.5, 1425.9, 1389.2, 1680.8, 904.9, 1046.3, 853.4, 747.4, 617.1, 1189.9, 1186.2, 997.7]"
2,850 W Addison St,LAKE VIEW,-87.65151202,41.94740046,3,"[784.26, 885.85, 252.87, 540.93, 298.23, 106.06, 297.66, 565.96, 1480.01, 1236.81, 1104.38, 1108.0, 1043.2, 682.47, 1044.7, 729.1, 1340.63, 1374.34, 1177.19, 891.56, 680.31, 678.32, 1072.62, 688.26, 1401.95, 1315.22, 1108.35, 1051.11, 1407.77, 1725.34, 1324.71, 940.78, 1308.37, 1275.01, 1357.9, 1543.26, 1388.73, 1513.89, 1656.66, 1656.65, 1818.42, 1843.3, 2117.84, 1846.01, 2004.64, 2254.44, 2226.0, 2225.4, 2041.88, 2308.47, 2721.52, 2561.76, 2435.94, 2455.59, 2862.56, 2054.36, 1872.02, 1692.39, 1496.35, 1344.13, 1612.32, 1991.78, 1887.19, 2299.14, 2231.26, 2064.5, 1912.72, 1667.8, 1739.81, 2278.17, 2002.63, 2208.09, 2081.72, 2613.68, 2268.1, 1776.68, 584.42]","[1360.4, 487.2, 0, 615.9, 2216.9, 709.2, 1220.3, 1195.2, 1492.9, 1772.8, 2303.3, 2222.5, 1815.0, 1778.3, 2069.8, 1293.9, 1379.0, 1192.6, 1138.7, 664.3, 1520.7, 1058.9, 707.0]"
3,5400 N Lincoln Ave,LINCOLN SQUARE,-87.69284451,41.97954951,4,"[478.94, 346.67, 482.46, 132.04, 511.79, 642.46, 802.68, 1070.98, 1230.78, 987.58, 846.34, 710.17, 536.73, 355.24, 829.88, 561.66, 1192.33, 1259.28, 1068.26, 893.2, 658.03, 795.76, 1120.89, 1073.1, 1430.94, 1430.49, 1325.25, 1473.51, 1583.41, 1927.88, 1747.11, 1445.8, 1813.39, 1697.42, 1780.3, 2001.68, 1811.14, 1936.3, 2115.07, 2079.06, 2240.83, 2265.7, 2540.24, 2268.42, 2427.04, 2676.85, 2648.4, 2647.81, 2464.29, 2730.88, 3143.93, 2984.17, 2858.35, 2877.99, 3284.97, 2433.32, 2217.39, 2072.6, 1918.76, 1766.53, 2034.73, 2414.19, 2309.6, 2678.1, 2653.66, 2486.91, 2335.13, 2090.21, 2162.22, 2700.57, 2425.03, 2630.5, 2504.12, 3036.08, 2690.51, 1527.45, 432.99]","[1809.6, 992.2, 615.9, 0, 2637.8, 373.8, 1185.4, 1685.7, 1913.8, 2193.8, 2724.3, 2643.5, 2235.9, 2199.2, 2490.8, 1714.9, 1568.6, 1412.7, 1559.7, 810.7, 1603.7, 768.7, 424.1]"
4,1900 W Monterey Ave,MORGAN PARK,-87.66852039,41.69143478,5,"[3025.14, 3036.02, 2493.75, 2683.05, 2372.81, 2274.9, 2076.76, 1852.97, 3169.78, 2926.59, 2794.15, 2797.78, 2940.6, 2638.08, 2780.2, 2460.88, 3042.95, 2958.34, 2659.78, 2412.26, 2305.3, 2202.29, 2097.58, 1928.16, 2328.26, 2040.67, 1845.66, 1658.7, 2028.38, 1915.57, 1562.83, 1656.67, 1453.73, 1338.53, 1343.02, 1346.97, 1069.19, 1217.52, 1351.6, 1078.36, 1247.69, 1085.67, 1007.49, 667.39, 777.24, 991.54, 980.35, 823.4, 453.35, 748.74, 1184.76, 1126.0, 463.98, 810.23, 1221.19, 1769.64, 1653.1, 1551.49, 1504.92, 1407.64, 1293.89, 1444.09, 1312.1, 1644.36, 1295.2, 1100.03, 983.27, 1065.03, 803.7, 946.67, 629.88, 278.9, 411.95, 404.69, 59.12, 3106.54, 2825.3]","[1227.2, 1827.8, 2216.9, 2637.8, 0, 2951.4, 2547.6, 1370.4, 1015.8, 878.0, 787.7, 489.4, 805.0, 956.2, 1252.8, 1364.9, 1945.7, 1839.3, 1514.4, 2175.6, 2182.2, 2744.7, 2556.2]"
5,6464 N Clark St,ROGERS PARK,-87.67132429,41.99976348,6,"[125.89, 311.05, 511.7, 415.38, 711.59, 740.61, 935.2, 1189.64, 1271.85, 1188.89, 1024.46, 793.18, 786.12, 679.77, 1154.41, 886.19, 1516.86, 1583.81, 1392.79, 1217.73, 982.56, 1114.34, 1445.42, 1272.9, 1755.47, 1755.02, 1640.5, 1671.35, 1907.94, 2252.41, 1944.95, 1446.46, 1814.06, 1895.25, 1965.65, 2048.95, 2008.97, 2134.14, 2162.35, 2276.9, 2364.4, 2461.85, 2698.27, 2466.26, 2624.88, 2816.45, 2846.24, 2845.65, 2662.13, 2928.71, 3341.76, 3182.0, 3056.19, 3075.83, 3482.8, 2674.6, 2492.26, 2312.64, 2116.59, 1964.37, 2232.57, 2612.02, 2507.44, 2919.39, 2851.5, 2684.75, 2532.97, 2288.04, 2360.05, 2898.41, 2622.87, 2828.34, 2701.96, 3233.92, 2888.34, 1728.75, 242.15]","[2021.8, 1154.4, 709.2, 373.8, 2951.4, 0, 1514.8, 1705.7, 2117.3, 2397.3, 2927.7, 2846.9, 2439.4, 2402.7, 2694.3, 1918.4, 1898.0, 1733.3, 1763.1, 1108.8, 1933.1, 1031.2, 753.5]"
6,5555 W Grand Ave,BELMONT CRAGIN,-87.76557448,41.91860889,7,"[1597.02, 1399.75, 1335.54, 1179.09, 1029.81, 1215.75, 1034.97, 1296.2, 1128.4, 885.21, 701.16, 902.78, 1136.88, 834.36, 378.06, 687.32, 564.56, 466.19, 114.02, 328.77, 632.35, 649.71, 486.77, 875.09, 329.92, 715.25, 745.77, 1079.55, 949.29, 1283.74, 1335.67, 1345.13, 1601.55, 1500.89, 1583.77, 1805.15, 1614.61, 1739.77, 1918.55, 1882.53, 2044.3, 2069.17, 2343.71, 2071.89, 2230.52, 2480.32, 2451.88, 2451.28, 2267.76, 2534.35, 2947.4, 2787.64, 2661.82, 2681.46, 3088.44, 1493.69, 1573.26, 1527.14, 1546.91, 1570.0, 1838.2, 1768.27, 1773.32, 1738.48, 1970.81, 1957.13, 2138.6, 1893.68, 1965.69, 2251.1, 2228.5, 2433.97, 2307.59, 2839.55, 2493.98, 1425.07, 1552.45]","[1618.0, 1160.6, 1220.3, 1185.4, 2547.6, 1514.8, 0, 1471.9, 1716.8, 1996.7, 2527.2, 2446.4, 2038.9, 2002.2, 1913.7, 1517.9, 969.9, 818.9, 1207.8, 618.3, 469.5, 644.5, 757.4]"
7,1718 S State St,NEAR SOUTH SIDE,-87.62735617,41.85837259,8,"[1833.29, 1941.22, 1377.79, 1588.24, 1278.01, 1180.1, 943.96, 679.09, 2074.98, 1831.79, 1699.35, 1702.97, 1845.8, 1543.28, 1685.4, 1366.08, 1948.15, 1836.51, 1537.94, 1290.42, 1210.5, 1107.49, 975.74, 833.36, 1206.42, 918.83, 723.82, 564.41, 940.34, 925.01, 511.91, 351.75, 129.68, 301.95, 358.63, 540.6, 484.76, 566.98, 654.0, 766.72, 856.06, 953.36, 1189.93, 956.08, 1114.7, 1308.11, 1336.06, 1335.47, 1151.95, 1418.54, 1831.58, 1671.82, 1546.01, 1565.65, 1972.63, 1193.46, 1011.12, 831.49, 627.7, 448.08, 708.35, 1130.88, 997.26, 1438.24, 1370.36, 1174.57, 1022.79, 777.86, 849.88, 1388.23, 1112.69, 1318.16, 1191.78, 1723.74, 1378.17, 2371.65, 1652.42]","[410.2, 756.2, 1195.2, 1685.7, 1370.4, 1705.7, 1471.9, 0, 586.9, 880.9, 1411.4, 1330.6, 923.0, 886.4, 1186.4, 395.9, 894.8, 717.5, 488.2, 1080.8, 1060.4, 1649.9, 1461.4]"
8,5101 S Wentworth Ave,FULLER PARK,-87.63056018,41.80181109,9,"[2229.84, 2240.73, 1698.46, 1887.75, 1577.52, 1479.6, 1281.47, 1057.67, 2374.49, 2131.29, 1998.85, 2002.48, 2145.31, 1842.79, 1984.9, 1665.58, 2247.66, 2163.05, 1864.49, 1616.96, 1510.01, 1407.0, 1302.29, 1132.87, 1532.97, 1245.37, 1050.36, 863.4, 1233.08, 1074.69, 767.53, 856.38, 653.44, 451.07, 455.56, 447.09, 115.18, 264.96, 380.01, 262.92, 424.69, 449.56, 856.66, 601.15, 744.28, 987.79, 981.13, 965.04, 797.02, 1063.6, 1476.65, 1300.58, 1191.08, 1210.72, 1617.69, 1123.46, 861.13, 713.03, 617.47, 520.18, 336.55, 756.94, 562.81, 1203.34, 983.73, 740.12, 588.34, 406.62, 478.63, 1010.35, 757.76, 963.23, 836.85, 1368.81, 1023.23, 2671.16, 2030.01]","[341.5, 1103.8, 1492.9, 1913.8, 1015.8, 2117.3, 1716.8, 586.9, 0, 502.5, 1056.7, 975.9, 568.4, 460.2, 760.2, 472.5, 1158.2, 1051.8, 726.9, 1388.1, 1394.7, 1957.2, 1768.7]"
9,7040 S Cottage Grove Ave,WOODLAWN,-87.60574786,41.76643089,10,"[2596.72, 2607.61, 2065.33, 2254.63, 1944.4, 1846.48, 1648.34, 1424.55, 2741.36, 2498.17, 2365.73, 2369.36, 2512.18, 2209.67, 2351.78, 2032.46, 2614.53, 2529.93, 2231.36, 1983.84, 1876.89, 1773.88, 1669.16, 1499.75, 1899.84, 1612.25, 1417.24, 1230.28, 1599.96, 1487.16, 1134.41, 1228.25, 1025.31, 873.36, 811.65, 623.73, 550.9, 594.12, 546.32, 370.08, 384.36, 207.65, 365.37, 338.36, 252.99, 501.43, 584.12, 473.76, 696.15, 599.55, 1012.6, 842.94, 971.83, 799.34, 1206.31, 1471.17, 1285.35, 1137.24, 1039.75, 942.47, 775.6, 1104.65, 910.53, 1398.33, 1049.18, 793.63, 605.33, 503.66, 142.59, 898.06, 640.93, 862.36, 735.99, 1267.94, 922.37, 3038.04, 2396.89]","[722.6, 1383.8, 1772.8, 2193.8, 878.0, 2397.3, 1996.7, 880.9, 502.5, 0, 592.4, 564.3, 451.3, 559.3, 974.7, 899.7, 1522.3, 1415.8, 1090.9, 1752.1, 1758.7, 2321.2, 2132.7]"
